model,accuracy,precision,recall,f1,auc
roberta-base,0.9806399021805584,0.9809652324575956,0.9806399021805584,0.9807263832444729,0.997267401147398
bert-base-uncased,0.9698390055023436,0.971715515746562,0.9698390055023436,0.9703386467713006,0.9959581011860251
distilbert-base-uncased,0.9773792541267577,0.9777358536132748,0.9773792541267577,0.9774042430641484,0.9975193475076416
albert-base-v2,0.9537395557367027,0.9585774152048665,0.9537395557367027,0.9547244384911296,0.9937697177532838
